"","STATE__","BGN_DATE","BGN_TIME","TIME_ZONE","COUNTY","COUNTYNAME","STATE","EVTYPE","BGN_RANGE","BGN_AZI","BGN_LOCATI","END_DATE","END_TIME","COUNTY_END","COUNTYENDN","END_RANGE","END_AZI","END_LOCATI","LENGTH","WIDTH","F","MAG","FATALITIES","INJURIES","PROPDMG","PROPDMGEXP","CROPDMG","CROPDMGEXP","WFO","STATEOFFIC","ZONENAMES","LATITUDE","LONGITUDE","LATITUDE_E","LONGITUDE_","REMARKS","REFNUM"
"807981",22,"5/1/2010 0:00:00","08:00:00 PM","CST",66,"LAZ066","LA","COASTAL FLOOD",0,"","","5/1/2010 0:00:00","11:00:00 PM",0,NA,0,"","",0,0,NA,0,0,0,0,"K",0,"K","LIX","LOUISIANA, Southeast","LOWER TERREBONNE - LOWER TERREBONNE",0,0,0,0,"EPISODE NARRATIVE: High astronomical tides combined with persistent southeast winds produced flooding in portions of Southeast Louisiana.EVENT NARRATIVE: Island Road south of Montegut had 2 inches of water across the road. The Terrebonne Levee District reported the highest water levels since Hurricane Gustav.",807971
"123158",40,"5/31/1968 0:00:00","1530","CST",75,"KIOWA","OK","TSTM WIND",0,"","","","",0,NA,0,"","",0,0,NA,50,0,0,0,"",0,"","","","",3500,9905,0,0,"",123158
"875871",8,"6/13/2011 0:00:00","03:37:00 PM","MST",121,"WASHINGTON","CO","HAIL",6,"SE","LINDON","6/13/2011 0:00:00","03:37:00 PM",0,NA,0,"","",0,0,NA,1,0,0,0,"K",0,"K","BOU","COLORADO, Central and Northeast","                                                                                                                                                                                                        ",3940,10319,0,0,"EPISODE NARRATIVE: Severe thunderstorms produced large hail, from quarter to golfball size, across parts of Arapahoe, Logan, Morgan, Washington and Weld Counties.EVENT NARRATIVE: ",875821
"411629",51,"9/2/2000 0:00:00","01:00:00 AM","EST",163,"ROCKBRIDGE","VA","FLASH FLOOD",0,"","GLASGOW","9/2/2000 0:00:00","06:00:00 AM",0,NA,0,"","GLASGOW",0,0,NA,0,0,0,10,"K",0,"","RNK","VIRGINIA, Southwest","",0,0,0,0,"Heavy thunderstorm rains during the early morning of the 2nd flooded and closed the intersection of Eighth Street and Rockbridge Road, and washed out 2 driveways in Glasgow.  The first floor of one home in Glasgow was also flooded resulting in damage. 

Heavy rain in the southern part of Rockbridge County caused several small streams to flood, closing some roads.

In Amherst County, heavy rain caused Maple Run to flood onto Route 665, one and a half miles south of Lowesville, and the Pedlar River to flood Route 635 near Pedlar Mills.",411599
"132184",40,"8/21/1990 0:00:00","1835","CST",73,"KINGFISHER","OK","HAIL",0,"","","","",0,NA,0,"","",0,0,NA,75,0,0,0,"",0,"","OKC","","",3606,9742,0,0,"",132184
"132996",40,"6/18/1991 0:00:00","1740","CST",7,"BEAVER","OK","TORNADO",0,"","","","",0,NA,0,"","",0.5,30,0,0,0,0,0,"K",0,"","","","",3634,10031,0,0,"",132996
"707186",20,"5/26/2008 0:00:00","20:18:00 PM","CST",173,"SEDGWICK","KS","HAIL",2,"SW","TYLER","5/26/2008 0:00:00","20:18:00 PM",0,NA,0,"","",0,0,NA,150,0,0,0,"K",0,"K","ICT","KANSAS, Southeast","                                                                                                                                                                                                        ",3739,9728,0,0,"EVENT NARRATIVE: Reported at the intersection of 119th and Pawnee. EPISODE NARRATIVE: Another severe weather episode moved across the forecast area producing widespread flooding and hail across most of the counties served.  A few high wind events were also noted.  Several high water rescues were noted during this time frame as people would drive into water covered roads and their vehicle would become inundated with water before finally retiring.  This caused for some consternation with local law and fire officials as they had to rescue the individuals from on top of their vehicle or in one instance they were clinging to a tree.",707176
"144286",46,"5/28/1985 0:00:00","2130","CST",55,"HAAKON","SD","TSTM WIND",0,"","","","",0,NA,0,"","",0,0,NA,53,0,0,0,"",0,"","AT","","",4402,10140,0,0,"",144286
"151823",48,"5/7/1965 0:00:00","1850","CST",483,"WHEELER","TX","TORNADO",0,"","","","",0,NA,0,"","",0.8,17,0,0,0,0,25,"K",0,"","","","",3522,10015,0,0,"",151823
"649608",6,"9/25/2007 0:00:00","02:00:00 AM","PST",84,"CAZ084","CA","FROST/FREEZE",0,"","","9/25/2007 0:00:00","08:32:00 AM",0,NA,0,"","",0,0,NA,0,0,0,0,"K",0,"K","MFR","CALIFORNIA, Upper","NORTHEAST SISKIYOU AND NORTHWE - NORTHEAST SISKIYOU AND NORTHWE",0,0,0,0,"EPISODE NARRATIVE: A Freeze Warning was issued for California zone CAZ084 and Oregon Zone ORZ029 at 24/1437 PDT, effective from 25/0200-25/0900 PDT.   The warning was cancelled at 25/0832 PDT.  Reported low temperatures in CAZ084 ranged from 26 to 40 degrees, so some areas of the zone did see freezing temperatures.",649547
"855026",24,"4/5/2011 0:00:00","03:39:00 AM","EST",17,"CHARLES","MD","THUNDERSTORM WIND",1,"ENE","MC CONCHIE","4/5/2011 0:00:00","03:39:00 AM",0,NA,0,"","",0,0,NA,56,0,0,1,"K",0,"K","LWX","MARYLAND, Central","                                                                                                                                                                                                        ",3830,7703,0,0,"EPISODE NARRATIVE: A strong cold front slowly traced through the area during the morning hours of the 5th.   A southerly flow ahead of the front caused copious amounts of moisture to move into the region from the Atlantic Ocean and Gulf of Mexico. The deep moisture combined with a mid-level trough that was associated with the cold front to produce moderate amounts of instability. Lift from the cold front along with moderate instability triggered showers and thunderstorms across the area. 

Thunderstorms were able to mix down strong winds from aloft causing damaging wind gusts. Wind speeds that changed rapidly in speed and direction with height caused the stronger storms to produce isolated tornadoes.EVENT NARRATIVE: A tree was down along Poor House Road.",854997
"234412",47,"5/14/1995 0:00:00","1500","CST",83,"HOUSTON","TN","FLASH FLOODING",0,"","","","1900CST",0,NA,0,"","",0,0,NA,0,0,0,5,"K",0,"","","","",0,0,0,0,"A woman was swept away as she walked from her car to her home.  Water reached up to several houses in the area. ",234315
"743235",55,"6/6/2008 0:00:00","13:25:00 PM","CST",101,"RACINE","WI","FUNNEL CLOUD",1,"S","STURTEVANT","6/6/2008 0:00:00","13:25:00 PM",0,NA,0,"","",0,0,NA,0,0,0,0,"K",0,"K","MKX","WISCONSIN, Southeast","                                                                                                                                                                                                        ",4241,8754,0,0,"EPISODE NARRATIVE: An upper-level impulse and surface trough moved through southern Wisconsin producing thunderstorms.  There was sufficient instability and vertical wind shear to product a number of funnel clouds and one tornado on top of many large hail and damaging thunderstorm winds.",743176
"833242",27,"9/23/2010 0:00:00","09:00:00 AM","CST",79,"LE SUEUR","MN","FLOOD",4,"S","KASOTA","9/25/2010 0:00:00","09:00:00 PM",0,NA,1,"E","HENDERSON STATION",0,0,NA,0,0,0,0,"K",0,"K","MPX","MINNESOTA, Central and South Central","                                                                                                                                                                                                        ",4414,9359,4431,9351,"EPISODE NARRATIVE: A strong storm system, in combination with deep moisture from the remnants of a tropical system, produced a large area of flooding rainfall with amounts as high as 8 and 11 inches in an 18 hour period.  

The main area of precipitation occurred across far southern Minnesota, and portions of west central Wisconsin, between 7:00 p.m., Wednesday, September 22nd, to 9:00  a.m., Thursday, September 23rd. 

Some of the smaller rivers in southeast Minnesota had historical crests which caused extensive damage around Northfield, Cannon Falls, Zumbrota and Pine Island. One bridge section on the North Fork River along Highway 52 between Cannon Falls, and Pine Island collapsed. The bridge in Cannon Falls was inundated by the flood waters of the Cannon River.  

In addition to the smaller tributaries, the larger Minnesota and Mississippi Rivers had flooding from Redwood Falls, to the Twin Cities, then southeast to Red Wing, Minnesota for about two to three weeks, as the runoff was extensive.

Some of the most notable rainfall measurements are as follows:

It was a record 2-day rain event in Amboy, MN (10.68), Waseca, MN (7.65), and Springfield, MN (5.47).  Thursday was also the wettest day on record in Waseca, MN (5.16).EVENT NARRATIVE: Numerous roads were closed due to excessive rainfall that fell on September 22nd and 23th.  The major areal flooding didn't recede until late Saturday when most of the small streams and creeks had crested and only mainstem rivers remained flooded.",833242
"844321",24,"2/19/2011 0:00:00","10:59:00 AM","EST",11,"MDZ011","MD","HIGH WIND",0,"","","2/19/2011 0:00:00","12:35:00 PM",0,NA,0,"","",0,0,NA,52,0,0,1,"K",0,"K","LWX","MARYLAND, Central","SOUTHERN BALTIMORE - SOUTHERN BALTIMORE",0,0,0,0,"EPISODE NARRATIVE: A cold front passed through the area during the evening of the 18th. A strong pressure gradient between high pressure to the south and low pressure to the north resulted in high winds during the 19th.EVENT NARRATIVE: A tree was down at the intersection of Hilton and Idlewild Avenues.",844252
"722536",32,"12/13/2008 0:00:00","13:25:00 PM","PST",20,"NVZ020","NV","HIGH WIND",0,"","","12/13/2008 0:00:00","13:25:00 PM",0,NA,0,"","",0,0,NA,51,0,0,0,"K",0,"K","VEF","NEVADA, South","LAS VEGAS VALLEY - LAS VEGAS VALLEY",0,0,0,0,"EVENT NARRATIVE: This gust occurred at the North Las Vegas airport. EPISODE NARRATIVE: High winds buffeted the Mojave Desert and southern Great Basin ahead of a strong cold front.",722472
"763443",18,"5/14/2009 0:00:00","02:04:00 AM","EST",107,"MONTGOMERY","IN","THUNDERSTORM WIND",1,"N","DARLINGTON","5/14/2009 0:00:00","02:04:00 AM",0,NA,0,"","",0,0,NA,55,0,0,0,"K",0,"K","IND","INDIANA, Central","                                                                                                                                                                                                        ",4006,8646,0,0,"EPISODE NARRATIVE: Storms moved across Missouri and Illinois into central and southern Indiana. Storms produced high winds and heavy rain. Rain of 4 to more than 6 inches fell in portions of central and southern Indiana on Wednesday and Thursday morning. This was the biggest rain the area has seen since June 2008. This rain did flood numerous county and a few state roads in central and southern Indiana. At least 4 vehicles attempted to go through flooded roads and did not make it. The biggest rain reported was 6.25 inches on the north side of Bloomington. Monroeb",763423
"157130",48,"7/27/1977 0:00:00","1930","CST",221,"HOOD","TX","TORNADO",0,"","","","",0,NA,0,"","",0.7,250,2,0,0,0,2.5,"K",0,"","","","",3227,9747,0,0,"",157130
"220895",37,"2/8/1995 0:00:00","0200","EST",0,"NCZ015>017 - 031>032","NC","HEAVY SNOW",0,"","","","0900EST",0,NA,0,"","",0,0,NA,0,0,0,0,"",0,"","","","PASQUOTANK - PASQUOTANK - CAMDEN - WESTERN CURRITUCK - CHOWAN - PERQUIMANS",0,0,0,0,"A burst of heavy snow blanketed extreme northeast North Carolina and northern portions of the Outer Banks.  Heaviest snowfall amounts were in Currituck (NCZ017) and Perquimans (NCZ032) Counties where four to seven inches of snow fell.  Three to four inches of snow fell in Camden (NCZ016), Chowan (NCZ031) and Pasquotank (NCZ015) Counties, with lighter amounts further west in northeast North Carolina.  Numerous, mostly minor, traffic accidents occurred, although there was one fatal accident on Route 158. ",220869
"167529",48,"6/12/1989 0:00:00","1930","CST",233,"HUTCHINSON","TX","HAIL",0,"","","","",0,NA,0,"","",0,0,NA,75,0,0,0,"",0,"","LBB","","",3549,10127,0,0,"",167529
"211023",28,"7/26/1995 0:00:00","1855","CST",67,"JONES","MS","THUNDERSTORM WINDS",5,"NW","Eastabuchie","","",0,NA,0,"","",0,0,NA,52,0,0,0,"",0,"","","","",0,0,0,0,"A 60 mph wind were recorded at the Pine Belt Regional Airport. ",211538
"797911",49,"3/31/2010 0:00:00","01:00:00 AM","MST",9,"UTZ009","UT","WINTER STORM",0,"","","3/31/2010 0:00:00","11:59:00 PM",0,NA,0,"","",0,0,NA,0,0,0,0,"K",0,"K","SLC","UTAH, West and Central","WESTERN UINTA MOUNTAINS - WESTERN UINTA MOUNTAINS",0,0,0,0,"EPISODE NARRATIVE: A strong, cold, and moist Pacific storm capped off the month of March in Utah. Strong winds were felt across much of the state on the 30th ahead of the storm, with large amounts of blowing dust reported in some areas. The storm finally entered the state on the 31st, bringing widespread heavy snow, particularly in the higher terrain. Note that this episode continued into April.EVENT NARRATIVE: Chalk Creek #2 SNOTEL received 1.60 inches liquid equivalent precipitation, or approximately 23 inches of new snow. Note that this event continued into April.",797861
"310018",1,"5/6/1998 0:00:00","04:15:00 PM","CST",43,"CULLMAN","AL","TSTM WIND",0,"","WEST PT","5/6/1998 0:00:00","04:15:00 PM",0,NA,0,"","WEST PT",0,0,NA,50,0,0,10,"K",3,"K","BMX","ALABAMA, Central","",3414,8657,3414,8657,"Trees were reported down near West Point.
",310238
"889410",37,"8/14/2011 0:00:00","08:05:00 PM","EST",81,"GUILFORD","NC","THUNDERSTORM WIND",6,"SSE","WHITSETT","8/14/2011 0:00:00","08:05:00 PM",0,NA,0,"","",0,0,NA,50,0,0,0,"K",0,"K","RAH","NORTH CAROLINA, Central","                                                                                                                                                                                                        ",3559,7933,0,0,"EPISODE NARRATIVE: An unseasonably strong amplifying upper level trough and attendant surface cold front moved east across the area during the afternoon. As the storms moved east off the higher terrain, they strengthened as the encountered moderate instability in place east of the mountains, producing widespread thunderstorm wind damage from the Triad to the Triangle. Hail ranging from quarter to golf ball size hail was reported, along with localized flash flooding.EVENT NARRATIVE: Approximate 20 feet tall and 4 feet wide tree snapped in half along NC Highway 62.",889350
"609825",16,"2/16/2006 0:00:00","12:00:00 PM","MST",9,"IDZ009>010","ID","EXTREME COLD/WIND CHILL",0,"","","2/17/2006 0:00:00","12:00:00 PM",0,NA,0,"","",0,0,NA,0,0,0,0,"",0,"","MSO","IDAHO, North","WESTERN LEMHI COUNTY - WESTERN LEMHI COUNTY - EASTERN LEMHI COUNTY",0,0,0,0,"Strong winds combined with arctic air flooding in from the north caused extremely cold wind chills across Lemhi County Idaho. Wind chill values of -20 to -30 degrees were observed.",609782
"373600",47,"8/12/1999 0:00:00","04:30:00 PM","CST",147,"ROBERTSON","TN","TSTM WIND",0,"","SPRINGFIELD MUNI ARP","8/12/1999 0:00:00","04:30:00 PM",0,NA,0,"","SPRINGFIELD MUNI ARP",0,0,NA,0,0,0,50,"K",0,"","OHX","TENNESSEE, Central","",3632,8655,3632,8655,"A private plane, Cessna 150, flipped over in strong thunderstorm winds according to a newspaper article. The plane flipped over on its side and struck the terminal, knocking out the window of the airport office and totaling the plane. 
",373525
"443502",48,"4/21/2001 0:00:00","05:40:00 PM","CST",303,"LUBBOCK","TX","HAIL",0,"","LUBBOCK","4/21/2001 0:00:00","05:40:00 PM",0,NA,0,"","LUBBOCK",0,0,NA,100,0,0,0,"",0,"","LUB","TEXAS, South Panhandle","",3335,10151,3335,10151,"Quarter size hail was reported at Texas Tech University.
",443471
"48968",20,"6/14/1968 0:00:00","1755","CST",15,"BUTLER","KS","HAIL",0,"","","","",0,NA,0,"","",0,0,NA,75,0,0,0,"",0,"","","","",3735,9705,0,0,"",48968
"797835",47,"3/12/2010 0:00:00","05:03:00 AM","CST",103,"LINCOLN","TN","HAIL",3,"WSW","BLEDSOE","3/12/2010 0:00:00","05:08:00 AM",0,NA,0,"","",0,0,NA,1,0,0,20,"K",0,"K","HUN","TENNESSEE, South Central","                                                                                                                                                                                                        ",3519,8638,0,0,"EPISODE NARRATIVE: An isolated severe thunderstorm developed over southern middle Tennessee, north of a line of severe thunderstorms that was moving across north central and northeast Alabama. This severe thunderstorm produced hail up to half dollar size in Lincoln county Tennessee.EVENT NARRATIVE: Quarter to half dollar size hail was reported in Petersburg.",797785
"56181",20,"4/12/1991 0:00:00","2055","CST",33,"COMANCHE","KS","HAIL",0,"","","","",0,NA,0,"","",0,0,NA,75,0,0,0,"",0,"","DDC","","",3712,9929,0,0,"",56181
"179418",55,"7/10/1987 0:00:00","1230","CST",29,"DOOR","WI","TSTM WIND",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,"",0,"","MKE","","",4504,8708,0,0,"",179418
"674232",38,"7/1/2007 0:00:00","20:50:00 PM","CST",59,"MORTON","ND","HAIL",7,"S","ALMONT","7/1/2007 0:00:00","20:59:00 PM",0,NA,0,"","",0,0,NA,175,0,0,0,"K",0,"K","BIS","NORTH DAKOTA, Central and West","                                                                                                                                                                                                        ",4637,10130,0,0,"EPISODE NARRATIVE: In the late afternoon of Sunday July 1st, Tornado Watch 470 was issued for all of west and central North Dakota in anticipation of severe thunderstorms developing in an area of sustained warm air advection northeast of a stationary surface low in western South Dakota. Numerous severe thunderstorm warnings and two tornado warnings were issued.",674192
"166963",48,"5/16/1989 0:00:00","1608","CST",359,"OLDHAM","TX","HAIL",0,"","","","",0,NA,0,"","",0,0,NA,175,0,0,0,"",0,"","LBB","","",3516,10241,0,0,"",166963
"122967",40,"9/26/1967 0:00:00","1430","CST",71,"KAY","OK","TORNADO",0,"","","","",0,NA,0,"","",0,33,0,0,0,0,0,"K",0,"","","","",3639,9720,0,0,"",122967
"139370",45,"7/22/1983 0:00:00","1345","CST",67,"MARION","SC","TSTM WIND",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,"",0,"","T","","",3412,7932,0,0,"",139370
"274042",46,"11/10/1996 0:00:00","06:00:00 PM","MST",43,"SDZ043","SD","ICE STORM",0,"","","11/10/1996 0:00:00","06:30:00 PM",0,NA,0,"","",0,0,NA,0,0,0,0,"",0,"","UNR","SOUTH DAKOTA, West","JACKSON - JACKSON",0,0,0,0,"Freezing drizzle deposited a half an inch of ice on a 20 mile section of Interstate 90 near Kadoka. Five car accidents resulted.",274032
"761553",9,"5/24/2009 0:00:00","05:07:00 PM","EST",5,"LITCHFIELD","CT","HAIL",1,"N","CORNWALL","5/24/2009 0:00:00","05:07:00 PM",0,NA,0,"","",0,0,NA,1,0,0,0,"K",0,"K","ALY","CONNECTICUT, Northwest","                                                                                                                                                                                                        ",4150,7319,0,0,"EPISODE NARRATIVE: A cold front approached from the west Sunday afternoon and evening on May 24th, preceded and accompanied by scattered thunderstorms, some of which contained large hail.EVENT NARRATIVE: Nickel size hail was reported near Cornwall during a thunderstorm.",761553
"474816",45,"5/9/2002 0:00:00","06:20:00 PM","EST",1,"ABBEVILLE","SC","TSTM WIND",0,"","LOWNDESVILLE","5/9/2002 0:00:00","06:20:00 PM",0,NA,0,"","LOWNDESVILLE",0,0,NA,50,0,0,1,"K",0,"","GSP","SOUTH CAROLINA, Northwest","",3413,8239,3413,8239,"Some trees and powerlines were blown down. 
",474746
"668937",31,"4/2/2007 0:00:00","16:15:00 PM","MST",69,"GARDEN","NE","HAIL",3,"NW","LEWELLEN","4/2/2007 0:00:00","16:15:00 PM",0,NA,0,"","",0,0,NA,100,0,0,0,"K",0,"K","LBF","NEBRASKA, Central","                                                                                                                                                                                                        ",4121,10211,0,0,"EPISODE NARRATIVE: A cluster of thunderstorms developed across western Nebraska in the early evening hours of April 2nd.  The cluster of storms transitioned into a line of storms that produced severe winds and hail across southwest Nebraska.",668937
"145742",46,"7/18/1992 0:00:00","1940","PST",115,"SPINK","SD","TSTM WIND",0,"","","","",0,NA,0,"","",0,0,NA,52,0,0,0,"",0,"","ABR","","",4513,9811,0,0,"",145742
"234446",47,"3/31/1993 0:00:00","1854","CST",93,"KNOX","TN","HAIL",0,"","Karns","","",0,NA,0,"","",0,0,NA,100,0,0,0,"",0,"","","","",0,0,0,0,"  ",234349
"717200",29,"1/8/2008 0:00:00","02:31:00 AM","CST",9,"BARRY","MO","TORNADO",3,"WSW","WHEELERVILLE","1/8/2008 0:00:00","02:36:00 AM",0,NA,2,"ESE","WHEELERVILLE",5,200,0,0,0,0,0,"K",0,"K","SGF","MISSOURI, Southwest","                                                                                                                                                                                                        ",3648,9340,3649,9335,"EVENT NARRATIVE: A National Weather Service storm survey revealed that an EF-1 tornado developed along a squall line and tracked across rural sections of Barry and Stone counties.  In Barry County, damage mainly consisted of trees. EPISODE NARRATIVE: An unusual mid winter tornado outbreak occurred over southwest and central Missouri.  31 tornadoes struck the region within a 15 hour time frame on 7 January into early morning 8 January.  Two tornadoes intensified to EF-3 status while five tornadoes caused EF-2 damage.  All other tornadoes during this outbreak were surveyed and given EF-0 and EF-1 status.  Multiple training supercells spawned most of these tornadoes that occurred along the Interstate 44 corridor.  Toward the end of this episode, a broken squall line spawned numerous EF-0 and EF-1 tornadoes across the southern Missouri Ozarks.",717148
"780064",8,"7/20/2009 0:00:00","09:18:00 PM","MST",59,"JEFFERSON","CO","HAIL",2,"NW","ARVADA","7/20/2009 0:00:00","09:18:00 PM",0,NA,0,"","",0,0,NA,1,0,0,0,"K",0,"K","BOU","COLORADO, Central and Northeast","                                                                                                                                                                                                        ",3949,10506,0,0,"EPISODE NARRATIVE: A severe thunderstorm produced damaging winds, large hail and very heavy rain across the western and southern suburbs of Denver.  Widespread damage was observed in the cities of Arvada, Wheat Ridge and Lakewood.  The intense straightline winds were the result of a wet microburst which downed hundreds of trees and snapped power poles.  Winds gusts to 80 mph were reported along with nickel to golfball size hail.  The combination of wind and hail produced widepread damage to homes and vehicles.  The damage claim estimates totaled $350 million; about 32,900 claims were filed for homes, while another 19,500 claims were for vehicles.  As many as 90,000 homes and businesses were left without power.  In some areas it took up to 3 days to completely restore electrical service.  Minor injuries were reported from broken glass during the storm, but no one was hospitalized.   The storm crippled the computers at the Colorado Crime Information Center in Lakewood for nearly 3 hours.  One weak tornado was also observed.

In Larimer and Weld Counties, severe thunderstorms produced widepread damage over approximately 150 square miles of farmland.  In all, 400 farms were directly impacted by severe weather.  Damage to crops alone was estimated to be around $4 million; most of the damage was observed in Weld County.EVENT NARRATIVE: ",780054
"732297",42,"6/28/2008 0:00:00","18:00:00 PM","EST",5,"ARMSTRONG","PA","THUNDERSTORM WIND",1,"NE","WEST KITTANNING","6/28/2008 0:00:00","18:00:00 PM",0,NA,0,"","",0,0,NA,50,0,0,75,"K",0,"K","PBZ","PENNSYLVANIA, West","                                                                                                                                                                                                        ",4049,7931,0,0,"EVENT NARRATIVE: Emergency management reported numerous trees down around Kittanning and across the county. EPISODE NARRATIVE: An MCS formed along a stalled frontal boundary across the Ohio Valley.  These severe thunderstorms produced significant wind damage across parts of eastern Ohio, the northern West Virginia panhandle, and western Pennsylvania.",732256
"117398",39,"6/15/1982 0:00:00","1900","CST",17,"BUTLER","OH","TSTM WIND",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,"",0,"","ATA","","",3927,8435,0,0,"",117398
"551868",41,"1/6/2004 0:00:00","10:00:00 AM","PST",9,"ORZ009","OR","BLIZZARD",0,"","","1/8/2004 0:00:00","08:00:00 AM",0,NA,0,"","",0,0,NA,0,0,0,0,"",0,"","PQR","OREGON, Northwest","WESTERN COLUMBIA RIVER GORGE - WESTERN COLUMBIA RIVER GORGE",0,0,0,0,"A strong winter storm packing the powerful punch of a frigid arctic airmass, heavy snow, sleet and freezing rain, along with strong east winds through and near the Columbia River Gorge snarled travel, forced the closure of most schools and businesses, and resulted in widespread power outages and properly damage in Northwestern Oregon. Strong high pressure built up east of the Cascade Mountains by January 5th, which forced frigid air through the Columbia River Gorge into Northwest Oregon. A Pacific low pressure system brought moist Pacific air over the top of this cold dome, producing the widespread snow...sleet...and freezing rain throughout the area, and blizzard conditions in Columbia River Gorge. Snowfall totals ranged from 2 to 3 inches along the the North Oregon Coast to from 2 to 8 inches in the Willamette Valley and up to 27 inches in the Cascade Mountains.  Accumulations of up to 2 inches of sleet and freezing rain followed the snowfall. The Portland metropolitan area received 5 to 8 inches of snow, followed by one to two inches of sleet and freezing rain, which limited or halted most forms of travel and resulted in cancellation of over 1300 flights at Portland International Airport, stranding 90,000 passengers. Portland's light rail train system was shut down during the peak of the freezing rain January 6th and 7th. Most businesses and schools were also closed on January 6th and 7th, longer in many areas. Blizzard conditions in the Columbia River Gorge resulted in the closure of Interstate 84 between Troutdale, Oregon and Hood River Oregon, and Washington State Route 14 between Washougal, Washington and White Salmon , Washington during the same period, halting east-west travel through the Gorge and stranding hundreds of trucks at both ends of the Gorge. Weight from the snow and ice buildup resulted in widespread downed trees and power lines, leaving 46,000 customers without power, and collapsed roofs at Portland's Gunderson Steel and Rail, Fred Meyer stores in Gateway and Clackamas, and a barn in Forest Grove that killed 4 horses. The roof over a boat marina in Scappoose collapsed, sinking 4 boats and damaging many others. Snowfall in the Cascades ranged from 8 inches at Blue Box Pass and Bennett Pass to 27 inches at Timberline Lodge and White River. President Bush declared Northwestern Oregon a Disaster Area, and Oregon Governor Kulongoski estimated the cost of damages to public property at $16 million. No deaths or serious injuries were attributed to the storm.",551838
"640281",48,"5/4/2006 0:00:00","04:58:00 PM","CST",201,"HARRIS","TX","HAIL",0,"","BELLAIRE","5/4/2006 0:00:00","04:58:00 PM",0,NA,0,"","BELLAIRE",0,0,NA,75,0,0,3,"K",0,"","HGX","TEXAS, Central Southeast","",2942,9529,2942,9529,"Penny size hail at the intersection of Bellaire and Hillcroft.
",640218
"817680",36,"6/24/2010 0:00:00","02:02:00 PM","EST",59,"NASSAU","NY","THUNDERSTORM WIND",0,"N","NORTH BELLMORE","6/24/2010 0:00:00","02:02:00 PM",0,NA,0,"","",0,0,NA,61,0,0,15,"K",0,"K","OKX","NEW YORK, Coastal","                                                                                                                                                                                                        ",4042,7333,0,0,"EPISODE NARRATIVE: A cold front and strong upper level trough moved across the Tri-State, triggering severe thunderstorms across Southeast New York during the afternoon.  This included both supercells and squall lines, producing severe winds and hail across the Lower Hudson Valley, New York City, and Long Island.EVENT NARRATIVE: Numerous trees were reported down in North Bellmore.",817660
"663551",26,"7/19/2007 0:00:00","14:30:00 PM","EST",93,"LIVINGSTON","MI","THUNDERSTORM WIND",0,"N","HAMBURG","7/19/2007 0:00:00","14:30:00 PM",0,NA,0,"","",0,0,NA,65,0,0,25,"K",0,"K","DTX","MICHIGAN, East","                                                                                                                                                                                                        ",4227,8348,0,0,"EVENT NARRATIVE: A local Television station reported dozens of trees down. One tree fell through the roof of the Livingston County Wildlife and Conservation Club. No one was injured. Total property damages were estimated at roughly $25K. EPISODE NARRATIVE: A cold front stalled out over the area and combined with an upper level low pressure system to support the development of severe thunderstorms. This event was very quick with the storms moving from Howell to just south of Detroit at 40 to 50 MPH. The most intense storm produced significant wind damage from southern Livingston County into northeast Washtenaw County. A tornado warning was issued for Washtenaw County. A National Weather Service field survey identified damages consistent with intense straight-line winds associated with thunderstorm downbursts. The storms knocked out power to 60 thousand customers in Southeast Lower Michigan. Half of downtown Brighton lost power, forcing numerous businesses to close. Several homes suffered damages from falling trees. There were no reports of any serious damages.",663512
"62770",22,"4/19/1982 0:00:00","1630","CST",61,"LINCOLN","LA","TSTM WIND",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,"",0,"","ATA","","",3235,9232,0,0,"",62770
"767275",38,"6/18/2009 0:00:00","02:14:00 PM","CST",19,"CAVALIER","ND","HAIL",4,"E","OLGA","6/18/2009 0:00:00","02:14:00 PM",0,NA,0,"","",0,0,NA,1,0,0,0,"K",0,"K","FGF","NORTH DAKOTA, East","                                                                                                                                                                                                        ",4848,9757,0,0,"EPISODE NARRATIVE: Eastern North Dakota remained in a very weak surface pattern on the 18th, with numerous weak surface lows and boundaries across the midwest. Like the past several days, moisture levels remained very high, with surface dew points in the low to mid 60s. Some morning cloud cover along the North Dakota/South Dakota border lifted north by afternoon, and allowed a period of good heating. Although the upper level winds were fairly light, another in a series of upper level disturbances shifted over the area by mid afternoon. This helped initiate thunderstorm development over southeast North Dakota and west central Minnesota. A cluster of thunderstorms also developed over extreme northeast North Dakota. By late afternoon, a line of thunderstorms raced across the Mooreton (ND) area, through Wahpeton/Breckenridge, and into the Fergus Falls (MN) area. This line of storms brought many reports of strong winds. The weak wind flow and moist atmosphere once again brought heavy rainfall to areas along the Canadian border and areas along and south of Interstate 94.EVENT NARRATIVE: ",767275
